Name,Location,Study Program,Sector,Rating,city,region
National Textile Institute NTI Islamabad,"18, Lukman Hakim Road G/6   3 Islamabad, ",I.TAF (INTERMEDIATE IN TEXTILE & FASHION DESIGNING),Private,0,Islamabad,Islamabad Capital Territory
Govt Post Graduate College For Women Satellite Town Gujranwala,Govt Post Graduate College For Women Satellite Town Gujranwala,FA FSCEngineering FSCMedical ICS FA General Science ICom,Public,3,Gujranwala,Punjab
Govt Post Graduate College Samanabad Faisalabad,Govt Post Graduate College Samanabad Faisalabad,FA ICS Icom FSCEngineering FSCMedical FA General Science,Public,0,Faisalabad,Punjab
Punjab Group of Colleges Rawalpindi,"D  464, 6th road, Satellite Town Rawalpindi",FA Icom ICS ComputerScience FSCMedical FSCEngineering FA General Science,Private,4,Rawalpindi,Punjab
Govt Viqar un Nisa College Rawalpindi,Govt Viqar un Nisa College Rawalpindi,FA Icom ICS FSCMedical FSCEngineering,Public,2,Rawalpindi,Punjab
COMSATS Institute of Information Technology Abbottabad,"CIIT Abbottabad Campus University Road, Tobe Camp",FA ICS ComputerScience Icom FSCEngineering FSCMedical,Public,3,Abbottabad,Khyber Pakhtunkhwa
Superior Group of Colleges Gujranwala,"7  8/A Small Industrial State, Main G.T. Road, Gujranwala.",FSCEngineering FSCMedical Icom FA ICS ComputerScience,Private,3,Gujranwala,Punjab
Allama Iqbal Open University AIOU Abbottabad.,"House No. CB 301, Adj. United Bank Ltd, Main Building Branch, Mansehra ",Icom ICS ComputerScience FSCEngineering FSCMedical FA,Public,0,Abbottabad.,
Pakistan Institute of Medical Technologies Islamabad,"Ghori Gardens Opposite Burma Pul, Street No. 3, Islamabad",FSCMedical FSC Dental Technology FSCMedical Laboratory Technology FSC Operation Theatre Technician FSC Ophthalmic Technician FSC Physiotherapy Technician FSC Radiologic Technology DAE Civil Technology DAE Electrical Technology DAE ElectronICS Technology,Private,0,Islamabad,Islamabad Capital Territory
Govt Frontier College for Women Peshawar,Govt Frontier College for Women Peshawar,FA FSCMedical FSCEngineering ,Public,4,Peshawar,Khyber Pakhtunkhwa
Govt College of Technology Raiwind Road Lahore,Dubai Town Raiwind Road Lahore,DAE Bio  medical DAE Civil Technology DAE Electrical Technology DAE ElectronICS Technology DAE Information Technology,Public,5,Lahore,Punjab
The City School,"TC / A, Street, 34, Khayaban  e  Rahat, Phase V, DHA, Karachi.",A Level,Private,0,Karachi,
Professionals Academy of Commerce Lahore PAC,"41 – T, GULBERG II, LAHORE",ICom,Private,4,Lahore,
Allama Iqbal Open University Multan,"Regional Campus, Allama Iqbal Open University, CF  7, Shah Rukn  e  Alam Colony, Near Thana Stop MULTAN.",Intermediate in Commerce (I.Com)  Higher Secondary School Certificate (General Group)Higher Secondary School Certificate (Dars  E  Nazami Group),Public,0,Multan,Punjab
Allama Iqbal Open University AIOU Faisalabad,"Regional Campus, Allama Iqbal Open University, F  Block, Near STN Tower, Millat Town, FAISALABAD.",Intermediate in Commerce (I.Com),Public,0,Faisalabad,Punjab
"Govt. Postgraduate College for Women Samanabad, Lahore",Samanabad Lahore,FA FSCEngineering FSCMedical ICom ICS ,Public,1,Lahore,Punjab
Punjab Group of Colleges Gujranwala,"29  A, Civil Lines Session, Court Road, Gujranwala",FA FSCEngineering FSCMedical ICom ICS  ComputerScience FA General Science,Private,3,Gujranwala,Punjab
Punjab Group of Colleges PGC Faisalabad,05 Km jaranwala Near PSO Petrol Pump Faisalabad,FA FSCEngineering FSCMedical ICom ICS  ComputerScience FA General Science,Private,2,Faisalabad,Punjab
Royal Group of Colleges Gujranwala,"Paracha Center Near PACE Main G.T Road, Gujranwala",FA FSCEngineering FSCMedical FA General Science ICS ComputerScience Icom Dcom DBA,Private,4,Gujranwala,Punjab
Superior Group of Colleges Rawalpindi,"34 B  1, Chandni Chowk Satellite Town Rawalpindi",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,3,Rawalpindi,Punjab
"Stars Educational Network, Head Office Johar Town Lahore","590  Q, Main Boulevard, Johar Town, Lahore, ",FSCEngineering FSCMedical FA Arts ICS ComputerScience ICOM ICS,Private,3,Lahore,Punjab
"Govt. College For Boys Gulberg, Lahore","Qazafi Stadium, Ferozepur Road Lahore.",FSCEngineering FSCMedical ICS ICOM FA Arts,Public,3,Lahore,Punjab
Govt College Township Lahore,"Government College Township, College Road Township Lahore",FA FSCEngineering FSCMedical ICom ICS ,Public,3,Lahore,Punjab
Agricultural University Peshawar Khyber Pukhtunkhwa,"NWFP Agricultural University Peshawar , ",FSC FA ,Public,0,Pukhtunkhwa,
Pakturk International School and College,"Pakturk International School & College, Plot # 87  88, Faiz Ahmad Faiz Road, H  8/1, Islamabad",FA A Level FSCMedical FSCEngineering ICS Icom,Private,0,Islamabad,
Concordia Colleges Lahore,"10  II Gurumangat Road, Gulberg  III, Lahore.",FA Arts FSCEngineering FSCMedical ICS ComputerScience Icom ACCA,Private,1,Lahore,Punjab
School of Nursing Holy Family Hospital Rawalpindi,School of Nursing Holy Family Hospital Rawalpindi,FA FSCMedical FSCEngineering,Private,0,Rawalpindi,Punjab
FG PostGraduate College for Women Kashmir Road Rawalpindi,KASHMIR ROAD RAWALPINDI CANTT RAWALPINDI,ICS FSCEngineering FSCMedical FA Icom,Private,0,Rawalpindi,Punjab
Superior Group of Colleges Sargodha,"Sargodha Campus, Satellite Town, Sargodha.",FA FSCMedical FSCEngineering ICS Icom,Private,5,Sargodha,
