Name,Location,Study Program,Sector,Rating,city,region
Govt Taleem ul Islam College Chenab Nagar Rabwah District Chiniot,Govt Taleem  ul  Islam College Chenab Nagar Rabwah District Chiniot,FA FSCEngineering FSCMedical FA General Science ICS ComputerScience ICom,Public,0,Chiniot,
Leadership Colleges Network Multan,"Oppsite Sabzazar Colony, Main Bosan Road, Multan",FA Icom FSCEngineering FSCMedical ICS ComputerScience,Private,0,Multan,Punjab
Punjab Group of Colleges Pattoki,"Mallanwala Chowk Bypass, Main Multan Road Pattoki",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,3,Pattoki,
Govt Islamia College Chiniot,Chiniot,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0.5,Chiniot,
Govt College for Women Peshawar Road Rawalpindi,Peshawar Road Rawalpindi,FA I.Com ICS FSCMedical FSCEngineering,Private,2,Rawalpindi,Punjab
College of Tourism and Hotel Management COTHM Sahiwal,"925  B Farid Town, Sahiwal",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,0,Sahiwal,
Govt Post Graduate College Bannu,Govt Post Graduate College Bannu,FA FSCEngineering FSCMedical,Public,0,Bannu,
Govt Hashmat Ali Islamia Degree College Rawalpindi,Govt Hashmat Ali Islamia Degree College Rawalpindi,ICS I.Com FA FSCEngineering FSCMedical,Public,4.25,Rawalpindi,Punjab
Leads Group of Colleges Lahore,"5  Tipu Block, New Garden Town, Near Kalma Chowk Lahore",FSC in    Medical FSCEngineering ICom ICS FA Arts,Private,0,Lahore,Punjab
Govt Post Graduate College Jaranwala Faisalabad,Faisalabad Road Jaranwala,FA FSCEngineering FSCMedical FA General Science ICom ICS,Public,4.75,Faisalabad,Punjab
Punjab Group of Colleges Kharian,"Bismillah Chowk, G.T Road, Kharian",FA ICS ComputerScience FSCMedical FSCEngineering FA General Science ICom,Private,4,Kharian,
Govt Degree College For Women Model Town Dera Ghazi Khan,Govt Degree College For Women Model Town Dera Ghazi Khan,FA FSCMedical FSCEngineering ICS FA General Science,Public,0,Khan,
Islamia Girls College Quetta,"Abdul Sattar Rd, Liaquat Bazar, Baldia Town, Quetta, Balochistan",FA FSC   Eng FSCMedical ICS FSC,Public,5,Quetta,Balochistan
Bilqees Postgraduate College For Women,Rawalpindi,FSC General Science FA,Private,0,Rawalpindi,
College of Tourism & Hotel Management COTHM Okara,"22  1, Dar ul Hassan Town, Off Akbar Road, Okara",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,0,Okara,
Punjab Group of Colleges Toba Tek Singh,"Rajiana Road, Opposite Shalimar Town Toba Tek Singh",FA ICS ComputerScience FSCMedical FSCEngineering FA General Science ICom,Private,4,Singh,
Punjab Group of Colleges Jhang,Satellite Town Gojra Road Jhang,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,4,Jhang,
Zain College Bhakkar,Darya Khan Road Near Bata Store Bhakkar,FSCEngineering FSCMedical FA ICS ComputerScience,Private,1.25,Bhakkar,
Superior Group of Colleges Toba Tek Singh,"Main Rajana Road, Barianwala Near S. A Marriage Hall, Toba Tek Singh",FSCMedical FSCEngineering ICS ComputerScience ICom FA,Private,5,Singh,
Fazal E Haq College Mardan,Fazal e Haq College Mardan,FSCEngineering FSCMedical ICS ComputerScience ICom FA,Private,5,Mardan,
"Kips Academy Head Office Johar Town, Lahore","30  A, Johar Town, Lahore",FSC ICOM ICS FA,Private,4,Lahore,Punjab
Ghazali Institute of Medical Science,New Arab Colony Abdara Chowk University Road Peshawar,FSCMedical FSCEngineering,Private,0,Peshawar,
ICMC Group of Colleges Islamabad,"16  Nazim  ud  Din Road, F  7/1, Islamabad",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Islamabad,Islamabad Capital Territory
"Pakturk International School & Colleges, Girls Section, Islamabad","625, Sawan Road, G  10/2,Islamabad",FSCEngineering ICS ComputerScience FSCMedical ICom FA General Science FA,Private,0,Islamabad,Islamabad Capital Territory
Superior Group of Colleges Sheikhupura,"Opposite Frabi College of Commerce Saim Pull Stop, Lahore Shekhupura Road",FSCEngineering FSCMedical ICS ICOM FA,Private,4,Sheikhupura,
Pak Turk International School and College Islamabad,"Pak Turk International School & College, 3  Park Road, Near Tarlai (F.A), Islamabad",FA FSCEngineering FSCMedical ICS IComA Level,Private,0,Islamabad,Islamabad Capital Territory
Govt Degree College for Women Dhoke Kala Khan Rawalpindi,Dhoke Kala Khan Rawalpindi,FSCMedical FSCEngineering I.Com ICS FA,Public,0,Rawalpindi,Punjab
Punjab College of InformatICS Islamabad,Punjab College of InformatICS Islamabad,FA ICS ICom FSCEngineering FSCMedical,Private,4,Islamabad,Islamabad Capital Territory
School of Business and Management Islamabad,"3rd Floor, Al Rehman Chambers, Blue Area, Islamabad",ACCA CMA CIMA,Private,0,Islamabad,Islamabad Capital Territory
Govt Post Graduate College Bahawalnagar,Govt Post Graduate College Bahawalnagar,FA General Science FSCEngineering FSCMedical ICF A  ICom,Public,5,Bahawalnagar,
Faran Model College Jhang,"Satelite town, Jhang",FA ICS ComputerScience FSCEngineering FSCMedical ICom,Public,4,Jhang,
Punjab Group of Colleges Samundri,Main Faisalabad    Samundari Road near Teen Pullian Stop Samundri,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Samundri,
Punjab Group of Colleges Burewala,Nehar Wala Bangla Azeemabad Burewala,FAFSCEngineering ICom FSCMedical FA General Science ICS ComputerScience,Private,4,Burewala,
Punjab Group of Colleges Jauharabad,"Mianwali Road, Jauharabad",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,4,Jauharabad,
Punjab Group of Colleges Bhakkar,Darya Khan Road Bhakkar,FA ICS ComputerScience FSCMedical FSCEngineering FA General Science ICom,Private,5,Bhakkar,
Viqar  un  Nisa Noon Girls Higher Secondary Institute Rawalpindi,Jehangir Road Rawalpindi,FA ICOM FSCMedical ICS,Private,0,Rawalpindi,Punjab
Govt College For Women Bund Road Lahore,"Bund Road, Lahore",FA FSC General Science FSCMedical FSCEngineering ICS I.Com,Public,5,Lahore,Punjab
Punjab Group of Colleges Sadiqabad,"Manthar Road, Sadiqabad",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Sadiqabad,
Dr. A.Q Khan School and College Islamabad,"Dr. A.Q Khan School/College, Safari Villas High Court Road, Zone No.5, Islamabad",ICS ComputerScience FSCMedical FSCEngineering ICom FA,Private,0,Islamabad,Islamabad Capital Territory
"ICMC Group of Colleges (For Girls), Rawalpindi","CB  265, Lane # 6, Quaid  e  Azam Colony, Dhamial Camp, Rawalpindi",FA Icom ICS ComputerScience FSCMedical FSCEngineering,Private,0,Rawalpindi,Punjab
Army Public School and College Abbottabad Cantt,"Army Public School and College, PMA Kakul, Abbottabad Cantt",FSCEngineering FSCMedical ICS ComputerScience,Private,0,Cantt,
Superior Group of Colleges Sahiwal,"Nazim Town, Main GT Road Multan, Near Wapda Grid Station Sahiwal",FA FSCEngineering FSCMedical FA General Science ICS ComputerScience ICom,Private,0,Sahiwal,
Govt Post Graduate College Jauharabad Khushab,Govt Post Graduate College Jauharabad Khushab,FA FSCEngineering FSCMedical FA General Science ICS ComputerScience,Public,0,Khushab,
Dr. A.Q. Khan Institute of ComputerScience and IT Rawalpindi,"P.O.Box 502, Sumbal Gah Kahuta    47320, Distt. Rawalpindi, ",DAE Chemical Technology DAE Civil Technology DAE Electrical Technology DAE ElectronICS Technology DAE Information Technology DAE Mechanical Technology DAE Metallurgical ,Private,0,Rawalpindi,Punjab
Govt Degree College For Women Attock,Govt Degree College For Women Attock,FA FSCEngineering FSC    MedicaI ICS ComputerScience,Public,0,Attock,
Wahaj Hussain s Karachi,"Gulshan II, Karachi",FA General Science A level,Private,0,Karachi,Sindh
The Peace Group Of Schools & Colleges Nowshera,GT Raod Campus Hakimabad Nowshera,FSCMedical FSCEngineering,Private,5,Nowshera,
Govt College for Women Chakwal,Chakwal,ICS ComputerScience FA FSCEngineering FSCMedical FA General Science,Public,0,Chakwal,
Rise Group of Colleges Boys Multan,"Pir khursheed colony, opposite city hospital multan",Icom FSCEngineering FSCMedical ICS FA,Private,0,Multan,Punjab
Fazaia Degree College Arf Kamra Attock,Fazaia Degree College Arf Kamra Attock,FA FSCEngineering FSCMedical FA General Science,Public,5,Attock,
Fazaia Inter College Chaklala Rawalpindi Cantt,"Fazaia Inter College, Chaklala, Rawalpindi Cantt",FSC General Science FSCMedical FSCEngineering FA I.Com ICS,Private,3,Cantt,
Commecs College Karachi,"ST  9, Block 13, Gulistan  e  Jauhar, Karachi",FSCEngineering FSCMedical ICom ICS ComputerScience,Private,5,Karachi,Sindh
"Gates College, Lahore","33  A Main Boulevard, Faisal Town, Lahore",FSCEngineering FA ICS ICom FSCMedical,Private,0,Lahore,Punjab
"National College of Arts & Management Sciences, Hyderabad",624  B Latifabad No.2 @ Hyderabad,DAE in Civil Engineering DAE in Electrical Engineering DAE in Information Technology Engineering ,Public,0,Hyderabad,
Army Burn Hall College for Boys Abbottabad Cantt,"Army Burn Hall College for Boys, Mansehra Road, Abbottabad Cantt",FA FSCEngineering FSCMedical A Level ,Private,5,Cantt,
Govt College of Commerce Peoples Colony Gujranwala,Govt College of Commerce Peoples Colony Gujranwala,FA FSCEngineering FSCMedical ICom DCom ICS,Public,0,Gujranwala,Punjab
"The Brains College of Education, Rawalpindi","467    Main Defence Road, Rawalpindi",FA FSCEngineering FSCMedical ICS ICom,Private,0,Rawalpindi,Punjab
Soophia College of Arts and Science Lahore,"31,Bahawalpur Road Mozang Chunge, Lahore",FSCMedical FSCEngineering ICS ICom,Private,0,Lahore,Punjab
Govt Vocational Training Institute (W) (RMGTC) Sargodha,"38  D Block, Satellite Town, Sargodha",FA FSCEngineering FSCMedical ICS ICom,Public,0,Sargodha,
College of Tourism and Hotel Management COTHM Rahim Yar Khan,"18  Businessman Colony, Rahim Yar Khan",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,0,Khan,
Superior Group of Colleges Jhang,Near Sultan Colony Main Gojra Road Jhang,ICS ComputerScience FSCMedical FSCEngineering ICom FA FSC General Science,Private,0,Jhang,
Scholars Cantt Group of Colleges Rawalpindi,"177  A Sarwar Road, Near Punj Sarki Petrol Pump, Rawalpindi Cantt",FA FSCEngineering FSCMedical ICS ICom,Private,0,Rawalpindi,Punjab
Fazaia Degree College Mrf Kamra District Attock,Fazaia Degree College Mrf Kamra District Attock,FSCMedical FSCEngineering FA General Science ICS,Public,1,Attock,
NICAAS College Rahim Yar Khan,Rahim Yar Khan,FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,4,Khan,
Scholars Group of Colleges Multan,"Scholars College Bosan Road, Multan",FA Icom FSCMedical FSCEngineering ICS ComputerScience,Private,0,Multan,Punjab
Govt Mian Muhammad Nawaz Sharif Degree College For Boys Sargodha,Govt Mian Muhammad Nawaz Sharif Degree College for Boys Sargodha,FSCMedical FSCEngineering FA General Science FA,Public,3,Sargodha,
Govt College of Commerce Jhang,Jhang,Dcom Icom,Public,0,Jhang,
Govt College G.T Road Jhelum,Govt College G.T Road Jhelum,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0.25,Jhelum,
Garrison Degree College,"Mahmood Ghazanvi Road, Quetta.",ICS ComputerScience FSCMedical FSC   Engreening,Private,0,karachi,
Govt Degree College For Women Wazirabad City Gujranwala,Govt Degree College For Women Wazirabad City Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Punjab Group of Colleges Mandi Baha  ud  Din,New Rasool Road Near XEN WAPDA Office Mandi Baha  ud  Din,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Din,
Govt I.D. Janjua College For Women Lala Musa Gujrat,Lala Musa Gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Gujrat,
Garrison Post Graduate College for Men Lahore,"Garrison Post Graduate College for Women, 52 Tuffail Road, Lahore Cantt",FA FSCEngineering ICSFA General Science  ICom FSCMedical,Private,2,Lahore,Punjab
Govt College Hafizabad,Hafizabad,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,3,Hafizabad,
"Recknors College of Management and ComputerScience, Karachi","5  A, SMCHS,Karachi ()",FSCEngineering FSCMedical FCS ComputerScience ICom,Private,1,Karachi,Sindh
Punjab Group of Colleges Jaranwala,"Canal Road, Opposite DSP Office Jaranwala",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Jaranwala,
"Institute of Engineering & Technology, Lahore","NTC Building PTCL Colony Near Dry Prot, Lahore",DAE ElectronICS Technology DAE Telecom Engineering  DAE Civil Technology DAE Computer Technology DAE Electrical Technology DAE Mechanical Engineering,Private,0,Lahore,Punjab
Govt College For Boys Peshawar,Govt College For Boys Peshawar,FA FSCMedical FSCEngineering FA General Science,Public,1.25,Peshawar,Khyber Pakhtunkhwa
Govt Degree College For Women Jauharabad Khushab,Jauharabad Khushab,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Khushab,
Royal College Of Science Narowal,Royal College of Science Narowal,FSCEngineering FSCMedical ICS ComputerScience ICom FSC General Science FA,Private,4,Narowal,
The AIMS School & College Islamabad,"The AIMS School & College, Snobar Hill, 17  Meel, Murree Road, Islamabad",FA FSCEngineering FSCMedical ICS ComputerScience Icom FA arab civic phil,Private,0,Islamabad,Islamabad Capital Territory
Punjab Group of Colleges Khanewal,"Lahore More, Near Habib Bank Khanewal",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,4,Khanewal,
Kips College Peshawar,"2  E Mulbery Rd, University Town, Peshawar, Khyber Pakhtunkhwa",ICom ICS FSCMedical FSCEngineering,Private,3.75,Peshawar,Khyber Pakhtunkhwa
"M.A. Jinnah Group of Colleges, Faisalabad","283   Sheikhpura Road, Faisalabad.",FA FSCEngineering FSCMedical ICom ICS  ComputerScience,Private,0,Faisalabad,Punjab
Pak Vision College Lahore,"8  College Block, Allama Iqbal Town, Lahore",FA ICS FSC FSCMedical FSCEngineering,Private,0,Lahore,Punjab
Govt Degree College For Women Rahwali Gujranwala,Govt Degree College For Women Rahwali Gujranwala,FA FSCEngineering FSCMedical ICS FA General Science Icom,Public,0,Gujranwala,Punjab
Punjab Group of Colleges Vehari,Ludan Road Vehari,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Vehari,
Quaid  e  Azam Law College 5  Railway Road Sargodha,Quaid  e  Azam Law College 5  Railway Road Sargodha,FA FSCMedical FSCEngineering ICom ICS,Private,0,Sargodha,
Govt Post Graduate Islamia College for Women Lahore Cantt,Govt Post Graduate Islamia College for Women Lahore Cantt,FSCMedical ICS FSCEngineering FA ICom FA General Science,Public,0,Cantt,
Govt College Civil Lines Multan,Govt College Civil Lines Multan,FSCMedical FSCEngineering ICom FA ICS ComputerScience,Public,5,Multan,Punjab
Alqa Post Graduate Girls College Rawalpindi,"Building # 1, Rahim Abad, Airport Road, Chaklala, Rawalpindi",FA FSCMedical FSCEngineering,Private,5,Rawalpindi,Punjab
The Vision Group Colleges Sialkot,"Saidpur Gondal Road, Sialkot, Punjab    51310",FA Icom FSCMedical FSCEngineering ICS ComputerScienceFSC General Science ,Private,4,Sialkot,
Punjab Group of Colleges Dera Ghazi Khan,"Saadat Palace, near BISE D.G Khan Building Dera Ghazi Khan",FA FSCEngineering FSCMedical FA General Science ICS ComputerScience ICom,Private,1,Khan,
Punjab Group of Colleges Raiwind,"Asal Road near Overhead Bridge, Raiwind",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,3,Raiwind,
"Riphah International College Harbanspura Campus, Lahore","Main Jahangir Road, Fatehgarh Harbanspura, Lahore",FSCMedical FSCEngineering I.C.S I.Com F.A,Private,0,Lahore,Punjab
Central College Multan,848  BOSAN ROAD MULTAN,FA FSCEngineering FSCMedical FA General Science ICS ComputerScience ICom,Private,1.25,Multan,Punjab
"South City Degree College, Karachi",Karachi,Icom FSCEngineering FSCMedical ICS,Public,0,Karachi,Sindh
Pakistan Askari School & College Rawalpindi,"E  Block, Satellite Town, Holy Family Road, Rawalpindi",FSCMedical FSCEngineering ICS ComputerScience ICom FA,Private,0,Rawalpindi,Punjab
Punjab Group of Colleges Abbotabad,"C.B 28, Gulistan Colony College Road, Abbotabad.",ICS ComputerScience FSCEngineering FSCMedical FA ICom,Private,0,Abbotabad,
Govt College for Women Islampura Lahore,Govt College for Women Islampura Lahore,FSCMedical FSCEngineering ICS ICom FA,Public,3,Lahore,Punjab
Govt Degree College for Women Satellite Town Bahawalpur,Satellite Town Bahawalpur,FA Art FSC General Science ICS ComputerScience FSCEngineering FSCMedical,Public,0,Bahawalpur,Punjab
The Smart College,"Smart Tower, Plot C  10/2, Off Shahrah  e  Faisal, Lines Area, Sector 8  A, Opposite, Gora Qabristan, Karachi",FSCEngineering FSCMedical ICS ICOM FAGeneral Science,Private,0,Karachi,
Punjab Group of Colleges Kasur,2  Km Ganda Singh Road Kasur,FA FSCEngineering FSCMedical ICom ICS  ComputerScience FA General Science,Private,1,Kasur,
"Cadet College, Jhang","2  B, CIVIL LINES, Adjacent to DPO HOUSE JHANG SADAR",FSCEngineering FSCMedical ICS ComputerScience,Public,1,Jhang,
Govt College Satiana Road Faisalabad,Govt College Satiana Road Faisalabad,FA FSCMedical FSCEngineering ICS Icom FA General Science,Public,0,Faisalabad,Punjab
Punjab Group of Colleges Daska,Pasroor Road Bypass Daska,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,2,Daska,
Punjab Group of Colleges Mirpur,"13/14, Kotli Road, Sector F3/4 Mirpur, Azad Kashmir Mirpur",FA Icom ICS ComputerScience FSCMedical FSCEngineering FA General Science,Private,0,Mirpur,
Govt College For Women Kamoke Gujranwala,Govt College For Women Kamoke Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Punjab Group of Colleges Chishtian,"Bahawalnagar Road, Near Sadar Police Station Chishtian",FA ICS ComputerScience ICom FSCMedical FSCEngineering FA General Science,Private,4,Chishtian,
Punjab Group of Colleges Mian Channu,G.T Road near Bodla House Mian Channu,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,1,Channu,
Govt Post Graduate College Chishtian Bahawalnagar,Govt Post Graduate College Chishtian Bahawalnagar,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Bahawalnagar,
Al Madina College of Medical Technologies Peshawar,GT road near by floar mills madina town peshawar,FSC Dental Technology  FSC Surgical Technology FSC in Laboratory Technology FSC Physiotherapy Technology FSC Ophthalmology Technology FSC Radiology Technology,Public,0,Peshawar,Khyber Pakhtunkhwa
Quaid  e  Azam Group of Colleges Okara,Karma Wala Town G.T. Road Okara,FA FSCEngineering FSCMedical FA General Science ICS ComputerScience ICom,Private,0,Okara,
Islamia Degree College for Girls Peshawar,"Shahi Bagh Road Peshawar, Peshawar, ",FA FSCMedical FSCEngineering,Public,4,Peshawar,Khyber Pakhtunkhwa
"University of FATA, Kohat",Kohat  ,FA FSCMedical,Public,0,Kohat,
Govt Maulana Zafar Ali Khan Degree College Wazirabad Gujranwala,Govt Maulana Zafar Ali Khan Degree College Wazirabad Gujranwala,FA FSCEngineering FSCMedical ICS ICom FA General Science,Public,0,Gujranwala,Punjab
Js Public School and College Chaklala,Rawal Road Chaklala,ICS FSCEngineering FSCMedical,Private,0,Chaklala,
Govt Post Graduate College For Women Sargodha,Govt Post Graduate College for Women Sargodha,FA FSCMedical FSCEngineering ICS ComputerScience ,Public,0,Sargodha,
Govt Post Graduate College Talagang Chakwal,Chakwal,FA FSCMedical FSCEngineering ICS ComputerScience  FA General Science,Public,0,Chakwal,
Punjab Group of Colleges Phalia,Tehsil Headquarter Hospital Road Phalia,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,5,Phalia,
Universal College of Professional Studies UCPS Faisalabad,98 A Peoples Colony 1 Faisalabad,FA FSCEngineering FSCMedical ICom ICS ,Private,0,Faisalabad,Punjab
Govt College For Women Gulistan Colony Faisalabad,Govt College For Women Gulistan Colony Faisalabad,ICS FSCMedical FSCEngineering FA FA General Science ICom,Public,0,Faisalabad,Punjab
SIIT College Of Commerce Sialkot,"Plot No 9, Abbot Road, Sialkot, ",FA FSCEngineering FSCMedical ICS ComputerScience ICom,Private,1,Sialkot,
Govt College For Woman Ghulam Muhammad Abad Faisalabad,Govt College For Woman Ghulam Muhammad Abad Faisalabad,FA FA General Science ICS FSCMedical FSCEngineering ICom,Public,0,Faisalabad,Punjab
Cadet College Okara,Cadet College Okara,ICS ComputerScience FSCEngineering FSCMedical,Private,0,Okara,
Govt College of Commerce Kot Lakhpat Lahore,"I  C  II, Township, Near Qadri Chowk Lahore",Dcom FA FSCEngineering FSCMedical ICom ICS  ,Public,0,Lahore,Punjab
Punjab Group of Colleges Shahkot,"Main Faisalabad Road, Shahkot",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,4,Shahkot,
502 Model College Rawalpindi,"Lalazar, Rawalpindi Cantt",FSCEngineering FSCMedical ICS Icom FA General Science ,Private,3,Rawalpindi,Punjab
Govt Degree College For Women Haroonabad Bahawalnagar,Govt Degree College For Women Haroonabad Bahawalnagar,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Bahawalnagar,
Govt Frontier College Woman Peshawar,Govt Frontier College Woman Peshawar,FA FSCMedical FSCEngineering,Public,0,Peshawar,Khyber Pakhtunkhwa
Ali Trust College Lehtrar Road Khanna (F.A) Islamabad,Ali Trust College Lehtrar Road Khanna (F.A) Islamabad,FA FSCEngineering FSCMedical,Private,0,Islamabad,Islamabad Capital Territory
Hamza Army Public School and College Rawalpindi Cantt,SHAH RAH  E  STADIUM RAWALPINDI,FSCMedical FSCEngineering FA ICS ICom,Public,0,Cantt,
Punjab Group of Colleges Bhalwal,"Railway Pathak, Bhalwal",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,4,Bhalwal,
Quaid Group of Colleges Lahore,"Allama Iqbal Road, Garhi Shahu, Lahore",FSCEngineering FSCMedical ICom ICS ComputerScience FA,Private,0,Lahore,Punjab
Jinnah Memorial College Lahore,"Poonch Road, Chouburji, Lahore",FSCEngineering FSCMedical ICOM ICS ComputerScience FA Arts,Private,0,Lahore,Punjab
Govt Degree College For Women Sarai Alamgir Gujrat,"Mandi Bahauddin Rd, Sarai Alamgir",FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,5,Gujrat,
Chenab College Jhang,"12  km, Chiniot Road, Jhang",FSCEngineering FSCMedical ICS ComputerScience ICom A Level,Private,4,Jhang,
Punjab Group of Colleges Chiniot,1  Km Jhang Faisalabad Bypass Chiniot,ICS ComputerScience FA FSCMedical FSCEngineering ICom FA General Science,Private,1,Chiniot,
Nisa Girls College sargodha,"91  C Satellite Town, Near Zafar Ullah Chowk, Sargodha, Punjab, .",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,sargodha,
Govt Degree College for Women Gulshan Colony Faisalabad,Govt Degree College for Women Gulshan Colony Faisalabad,FA FSCMedical FSCEngineering ICS FA General Science ICom,Public,0,Faisalabad,Punjab
Govt College of Commerce Gujranwala,Govt College of Commerce Peoples Colony Gujranwala,Icom Dcom,Public,0,Gujranwala,Punjab
Govt College For Women Kotla Arab Ali Khan Gujrat,Kotla Arab Khan gujrat,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Gujrat,
Govt Post Graduate College For Boys Pattoki Kasur,Govt Post Graduate College For Boys Pattoki Kasur,FA FSCEngineering FSCMedical ICS ICom,Public,0,Kasur,
Govt College For Women Bhakkar,Govt College For Women Bhakkar,FA FSCMedical FSCEngineering FA General Science ICS ComputerScience FSC General Science,Public,0,Bhakkar,
Uswa College Islamabad,"Saif Ali Education Complex, Japan Road, Sihala (F.A), Islamabad",FSCMedical FSCEngineering ICS ComputerScience ICom FA,Private,0,Islamabad,Islamabad Capital Territory
Bright Eaglets Group of Colleges Jhang,"1  F Satellite Town Gojra Road Nr Khokha choak, Jhang Sadar",FA ICS ComputerScience ICom DCom,Private,5,Jhang,
RED C Institute of Engineering and Technology RIET Islamabad,"Nasir Plaza, Main Lehtrar Road, Near Kannah Pul Islamabad",FSCEngineering FSCMedical ICS ICOM FA,Private,0,Islamabad,Islamabad Capital Territory
Govt Degree College Jhang,Govt Degree College 170/jb Jhang,FA FSCEngineering FSCMedical,Public,4.75,Jhang,
Govt Sadiq College of Commerce Bahawalpur,Govt Sadiq College of Commerce Bahawalpur,Dcom Icom ICS,Public,5,Bahawalpur,Punjab
"Army Public School and College, Hyderabad","Army Public School and College, Hyderabad Cantt.",FA ICom ICS ComputerScience FSCMedical FSCEngineering A Level,Public,1.25,Hyderabad,
National School of Accountancy and Technology Islamabad,"8  C, Shahwiaz Centre, F  8 Markaz, Islamabad",ACCA Icom CIMA,Private,0,Islamabad,Islamabad Capital Territory
The Quaid  e  Azam Group of Schools & Colleges Peshawar,"Boys College, Main Warsak Road, Peshawar",FSCMedical FSCEngineering ICS ComputerScience FA FA General Science Icom,Private,0,Peshawar,Khyber Pakhtunkhwa
Aptech Computer Education Gujranwala,"Aptech Computer Education 6A, Small Industrial Estate # 1 G.T. Road, Gujranwala",FA FSCEngineering FSCMedical FA General Science ICS Icom IT,Private,2,Gujranwala,Punjab
Punjab Group of Colleges Depalpur,Pakpattan Bypass Depalpur,FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,3,Depalpur,
Punjab Group of Colleges Jalalpur Jattan,"2 Km, Gujrat Road, Jalalpur Jattan",FA ICS ComputerScience FSCMedical FSCEngineering ICom FA General Science,Private,0,Jattan,
Kips College Abbottabad,"Ali Gohar Plaza ,Supply Bazar ,Mansehra Road Abbottabad ",FSCMedical FSCEngineering ICom ICS,Private,0,Abbottabad,Khyber Pakhtunkhwa
PACE Colleges Rawalpindi,271    Hathi Chowk Saddar Rawalpindi,FSCMedical ICS ComputerScience ICom,Private,0,Rawalpindi,Punjab
Capt Hussain Khan Shaheed Govt Degree College Rawalkot,"Rawalkot, District Poonch, Azad Jammu & Kashmir",FA Icom ICS ComputerScience FSCMedical FSCEngineering,Private,0,Rawalkot,
Govt College For Women Jhang,Gojra Road Jhang,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,0,Jhang,
Govt Degree Girls College Jaranwala Road Faisalabad,"Govt Degree College 215/RB, Jaranwala Road Faisalabad",FA FSCMedical FSCEngineering ICS Icom FA General Science,Public,4,Faisalabad,Punjab
Federal Science and Commerce College Rawalpindi,"Scheme  III, Rawalpindi.",FA FSCMedical FSCEngineering ICom ICS,Private,0,Rawalpindi,Punjab
Quaid  e  Azam Group of Colleges Sargodha,"5  A, Railway Road Sargodha",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Sargodha,
Govt Razvia Islamia Degree College Haroonabad Bahawalnagar,Govt Razvia Islamia Degree College Haroonabad Bahawalnagar,FA FSCEngineering FSCMedical FA General Science ICS ICom,Public,0,Bahawalnagar,
Faisalabad College of Science Faisalabad,Faisalabad College of Science 107  C Peoples Colony Jaranwala Road Faisalabad,FSCEngineering FSCMedical ICS ComputerScience ICom FA,Public,2.5,Faisalabad,Punjab
Crescent Science College Gujranwala,"Plot No 162/D, Satellite Town, Gujranwala, ",FA FSCEngineering FSCMedical FA General Science ICS ICom,Private,0,Gujranwala,Punjab
Govt Boys Degree College Shorkot Jhang,Cantt Road Shorkot Distt Jhang,FA FSCEngineering FSCMedical ICS ComputerScience ICom FA General Science ,Public,5,Jhang,
